"checking_account";"duration_months";"credit_history";"purpose";"credit_amount";"savings";"present_employment_since";"installment_rate";"personal_status_sex";"other_deptors";"present_residence";"property";"age_years";"other_installment_plans";"housing";"existing_credits";"job";"people_liable_maintenance";"telephone";"foreign_worker";"response";"gender"
"No checking account";12;"critical account/other credits existing (not at this bank)";"furniture/equipment";1402;"255 euro <= ... < 511 euro";"4  <= ... < 7 years";3;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";37;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"radio/television";2404;"... <  51 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";6;"existing credits paid back duly till now";"furniture/equipment";4611;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";32;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
"... <  0 euro";47;"existing credits paid back duly till now";"car (new)";10722;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";1;"real estate";35;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";12;"existing credits paid back duly till now";"radio/television";1092;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"guarantor";4;"real estate";49;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";24;"critical account/other credits existing (not at this bank)";"car (used)";6419;"... <  51 euro";".. >= 7 years";2;"female : divorced/separated/married";"none";4;"unknown / no property";44;"none";"for free";2;"management/ self-employed/highly qualified employee/ officer";2;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";48;"existing credits paid back duly till now";"furniture/equipment";9960;"... <  51 euro";"... < 1 year";1;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";12;"existing credits paid back duly till now";"car (used)";4675;"unknown/ no savings account";"... < 1 year";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";20;"none";"rent";1;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";6;"existing credits paid back duly till now";"car (new)";672;"... <  51 euro";"unemployed";1;"female : divorced/separated/married";"none";4;"real estate";54;"none";"own";1;"unemployed/ unskilled  - non-resident";1;"yes, registered under the customers name";"yes";0;"female"
"0 <= ... <  102 euro";36;"no credits taken/ all credits paid back duly";"radio/television";3804;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";1;"(if not optin 1 or 2) car or other, not in attribute";42;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"yes";1;"female"
"No checking account";30;"existing credits paid back duly till now";"car (used)";4811;"unknown/ no savings account";"4  <= ... < 7 years";2;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";24;"stores";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";8;"existing credits paid back duly till now";"furniture/equipment";1237;"... <  51 euro";"1  <= ... < 4 years";3;"female : divorced/separated/married";"none";4;"real estate";24;"none";"own";1;"skilled employee / official";1;"none";"yes";1;"female"
">= 102 euro";24;"existing credits paid back duly till now";"furniture/equipment";3749;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"own";1;"skilled employee / official";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"furniture/equipment";4351;"unknown/ no savings account";"1  <= ... < 4 years";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";48;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";15;"delay in paying off in the past";"furniture/equipment";3643;"... <  51 euro";".. >= 7 years";1;"female : divorced/separated/married";"none";4;"(if not real estate) building society savings agreement/ life insurance";27;"none";"own";2;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"car (new)";1028;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";3;"real estate";36;"none";"own";2;"skilled employee / official";1;"none";"yes";0;"female"
"No checking account";24;"existing credits paid back duly till now";"car (new)";1525;".. >= 511 euro";"4  <= ... < 7 years";4;"female : divorced/separated/married";"none";3;"(if not optin 1 or 2) car or other, not in attribute";34;"none";"own";1;"skilled employee / official";2;"yes, registered under the customers name";"yes";0;"female"
"No checking account";18;"critical account/other credits existing (not at this bank)";"education";1864;"51 <= ... <  255 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"real estate";30;"none";"own";2;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";60;"existing credits paid back duly till now";"car (new)";7408;"51 <= ... <  255 euro";"... < 1 year";4;"female : divorced/separated/married";"none";2;"(if not real estate) building society savings agreement/ life insurance";24;"none";"own";1;"management/ self-employed/highly qualified employee/ officer";1;"none";"yes";1;"female"
"No checking account";48;"critical account/other credits existing (not at this bank)";"car (used)";11590;"51 <= ... <  255 euro";"1  <= ... < 4 years";2;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";24;"bank";"rent";2;"unskilled - resident";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";13;"existing credits paid back duly till now";"radio/television";2101;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"guarantor";4;"(if not real estate) building society savings agreement/ life insurance";23;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"... <  0 euro";15;"existing credits paid back duly till now";"domestic appliances";1275;"unknown/ no savings account";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";24;"none";"rent";1;"skilled employee / official";1;"none";"yes";1;"female"
"0 <= ... <  102 euro";24;"critical account/other credits existing (not at this bank)";"education";5743;"... <  51 euro";"... < 1 year";2;"female : divorced/separated/married";"none";4;"unknown / no property";24;"none";"for free";2;"skilled employee / official";1;"yes, registered under the customers name";"yes";0;"female"
"... <  0 euro";21;"existing credits paid back duly till now";"furniture/equipment";3599;"... <  51 euro";"4  <= ... < 7 years";1;"female : divorced/separated/married";"none";4;"(if not optin 1 or 2) car or other, not in attribute";26;"none";"rent";1;"unskilled - resident";1;"none";"yes";0;"female"
"No checking account";15;"critical account/other credits existing (not at this bank)";"radio/television";1459;"... <  51 euro";"1  <= ... < 4 years";4;"female : divorced/separated/married";"none";2;"(if not optin 1 or 2) car or other, not in attribute";43;"none";"own";1;"unskilled - resident";1;"none";"yes";0;"female"
"0 <= ... <  102 euro";24;"existing credits paid back duly till now";"radio/television";3758;"255 euro <= ... < 511 euro";"unemployed";1;"female : divorced/separated/married";"none";4;"unknown / no property";23;"none";"rent";1;"unemployed/ unskilled  - non-resident";1;"none";"yes";0;"female"
